100	3	1150
200	1	2717
300	2	4567
400	1	6367
500	1	8351
600	1	10221
700	1	12405
800	0	14712
900	1	16955
1000	1	19296
1100	1	21129
1200	1	23804
1300	2	26215
1400	2	28274
1500	1	30683
1600	1	33233
1700	3	35747
1800	2	38265
1900	2	40661
2000	2	42957
2100	1	44995
2200	2	47903
2300	2	50509
2400	2	52971
2500	2	55676
2600	2	58246
2700	1	61182
2800	2	63165
2900	2	66051
3000	3	68811
3100	3	71578
3200	2	74162
3300	2	77038
3400	3	79642
3500	5	81855
3600	3	84866
3700	1	87674
3800	2	90876
3900	1	93200
4000	1	96045
4100	2	98452
4200	1	101483
4300	2	103610
4400	2	107286
4500	1	109473
4600	1	112560
4700	2	115424
4800	1	117788
4900	2	120700
5000	1	123596
5100	1	126147
5200	1	128324
5300	1	132042
5400	2	134471
5500	1	137941
5600	2	140499
5700	2	143806
5800	2	145792
5900	2	149455
6000	1	152712
6100	1	155208
6200	2	157972
6300	1	161164
6400	2	163613
6500	2	166499
6600	3	170127
6700	2	172344
6800	3	175174
6900	2	179015
7000	2	180993
7100	3	184171
7200	2	187421
7300	2	189679
7400	2	193096
7500	3	195540
7600	3	198832
7700	2	201279
7800	2	204514
7900	2	207222
8000	2	211401
8100	1	213078
8200	2	216775
8300	2	219209
8400	2	222510
8500	3	225902
8600	2	228508
8700	2	231819
8800	2	234531
8900	2	238557
9000	2	240655
9100	2	243190
9200	2	246556
9300	2	250077
9400	2	252727
9500	2	256481
9600	2	258852
9700	2	262536
9800	2	266871
9900	2	268625
10000	2	271890
